,Date,Mérydes,Type de Bonus,Bonus,Offrandes,Quantité Offrandes,Kamas
,31 mai 2024,Tiny,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans le donjon de l'Antre du Korriandre.,Lamelle de Dramanite,3,17987
,1 juin 2024,Namyknof,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les créatures de type Monstres des plages.,Pince de Crabe,6,1517
,2 juin 2024,Elgero,Bonus : Vœu de pauvreté,"Des Sébiles d'Elgero ont été ajoutées aux butins des monstres des donjons. Lorsqu'elles sont utilisées, elles font disparaître les kamas… et permettent de bénéficier d'un effet aléatoire de charité bien ordonnée.",Biscotte,2,3980
,3 juin 2024,Mikart,Bonus : Percepteurs avides,Le butin généré par les Percepteurs est augmenté de 200 % dans les donjons de niveau 40 à 70.,Graine de la Discorde,6,1231
,4 juin 2024,Martero,Bonus : Gardiens de la nature,"Les protecteurs de ressources ont 5 fois plus de chances d'apparaître pendant les activités de récolte. De plus, la vitesse d'apparition des Archimonstres est augmentée de 200 %.",Bouclier du Bouftou,1,1165
,5 juin 2024,Aris,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Krobes.,Coquille de Virustine,2,21990
,6 juin 2024,Mendelia,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans le Donjon du Comte Harebourg.,Œil de Cycloïde,2,21990
,7 juin 2024,Halden,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Bléros.,Griffe de Blérauve,2,19944
,8 juin 2024,Tigibon,Bonus : Anomalies temporelles,"Les gains d'expérience des montures sont augmentés de 100 % dans toutes les zones influencées par une anomalie temporelle. De plus, les gains d'expérience et les chances d'obtenir du butin sont augmentés de 25 % dans la zone de la Route des Roulottes.",Roue de Tivelo,6,4551
,9 juin 2024,Verôl,Bonus : Cueillette abondante,Les quantités d'Orchidée Freyesque récupérées par les Alchimistes sont augmentées de 125 %.,Orchidée Freyesque,40,2001
,10 juin 2024,Jibejan,Bonus : Élevage de montures,"Toutes les variétés de dragodindes, volkornes et muldos amande donnent naissance à un bébé supplémentaire.",Lait de Dragodinde,6,2462
,11 juin 2024,Teluomaj,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans le Camp du Comte Razof.,Bouteille de Bouchonnois,1,21990
,12 juin 2024,Aazimar,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon de l'Aquadôme de Merkator.,Sang de Harpo,1,21990
,13 juin 2024,Blou,Bonus : Bois abondant,Les quantités de Bambou récupérées par les Bûcherons sont augmentées de 125 %.,Bois de Bambou,40,3562
,14 juin 2024,Yaka,Bonus : Économie d'ingrédients,Les Bricoleurs ont 15 % de chances d'économiser des ingrédients lorsqu'ils fabriquent des objets.,Clef des Champs,1,769
,15 juin 2024,Bek,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 100 % dans laGrotte Hesque.,Coccyx du Corailleur,6,1407
,16 juin 2024,Pytch,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans les zones de la Presqu'île des Dragoeufs.,Coquille de Dragoeuf Ardoise,6,2836
,17 juin 2024,Seyroth,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les créatures de type Abraknydiens.,Racine d'Abraknyde,6,1407
,18 juin 2024,Redfis,Bonus : Minerai abondant,Les quantités de Cendrepierre récupérées par les Mineurs sont augmentées de 125 %.,Cendrepierre,30,8993
,19 juin 2024,Lim,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 75 % dans la zone de Feudala.,Peau de Crachefoux,4,10599
,20 juin 2024,Grut,Bonus : Récolte abondante,Les quantités de Blé récupérées par les Paysans sont augmentées de 125 %.,Blé,50,197
,21 juin 2024,Atsu,Bonus : Du miel dans les oreilles,"Les amateurs de musique peuvent récupérer deux fois plus de pollenectar sur les créatures du Monde des Douze (hors dimensions, zones sous-marines et intérieurs).",Tambour de Gobaladée,6,395
,22 juin 2024,Gnat,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans les zones de la Plage de Corail.,Pince de Crustorail,6,1297
,23 juin 2024,Hellmut,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Possédés.,Appendice Démoniaque,1,21990
,24 juin 2024,Azrou,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de typeAnimaux des champs.,Peau de Larve Champêtre,1,2396
,25 juin 2024,Oopah,Bonus : Apparition des ressources,La vitesse d'apparition des ressources est augmentée de 150 % dans la zone de la Mine Istairameur.,Eau Ferrugineuse,1,395
,26 juin 2024,Bouliks,Bonus : Objets de qualité,La qualité des objets fabriqués sur l'île de Pandala est augmentée.,Bouclier Volant,1,769
,27 juin 2024,Ansôh,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans le Temple de Koutoulou.,Tentacule de Grofond,2,21990
,28 juin 2024,Ikoan,Bonus : Anomalies temporelles,"Les bonus apportés par les challenges réussis sont augmentés de 75 % dans toutes les zones influencées par une anomalie temporelle. De plus, les gains d'expérience et les chances d'obtenir du butin sont augmentés de 25 % dans la zone de la Pyramide Maudite.",Grenat de Momistik,2,21990
,29 juin 2024,Poch,Bonus : Gibier abondant,Les quantités de Viande Gâtée et de Viande Noire récupérées par les Chasseurs sont augmentées de 125%.,Viande Noire,2,19944
,30 juin 2024,Lamarilu,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 100 % dans l'Akadémie des Gobs.,Bonnet de Gobaliste,6,989
,1 juillet 2024,Rems,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Dragoss.,Écaille de Dragoss Charbon,5,5563
,2 juillet 2024,Yanouchk,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon du Tofulailler Royal.,Œuf de Tofubine,1,7762
,3 juillet 2024,Sirdal,Bonus : Économie d'ingrédients,Les Alchimistes ont 15 % de chances d'économiser des ingrédients lorsqu'ils fabriquent des objets.,Potion Raide Dite,3,747
,4 juillet 2024,Eiwech,Bonus : Rêve amaknéen,"Les gains d'expérience et les chances d'obtenir du butin sont augmentés de 50 % sur tous les monstres présents dans les zones du royaume d'Amakna. De plus, les quantités de Points de rêve obtenus dans les Songes infinis sont augmentées de 200 %.",Friture Amaknéenne,4,3584
,5 juillet 2024,Alaokit,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans le donjon de l'Atelier du Tanukouï San.,Poils magiques de Tanuki,2,9191
,6 juillet 2024,Poupik,Bonus : Pêche abondante,Les quantités de Goujon et de Truite récupérées par les Pêcheurs sont augmentées de 125 %.,Truite,40,197
,7 juillet 2024,Lazura,Bonus : Récolte abondante,Les quantités de Maïs et de Millet récupérées par les Paysans sont augmentées de 125 %.,Maïs,50,7190
,8 juillet 2024,Unkn,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Pirates de Moon.,Nœud de Marin,2,4551
,9 juillet 2024,Blid,Bonus : Forgemagie améliorée,Les Cordomages ont 15 % de chances de ne pas consumer de rune lorsqu'ils tentent d'améliorer un objet.,Rune Pod,2,769
,10 juillet 2024,Jihelair,Bonus : Élevage de montures,"Toutes les variétés de dragodindes, volkornes et muldos prune donnent naissance à un bébé supplémentaire.",Arc Sifflant,1,769
,11 juillet 2024,Oskerine,Bonus : Minerai abondant,Les quantités de Bauxite récupérées par les Mineurs sont augmentées de 125 %.,Bauxite,30,5585
,12 juillet 2024,Pasquéoz,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les créatures de type Clan Martegel.,Poils de barbe de Barbélier,2,21990
,13 juillet 2024,Klernodie,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans le donjon de la Vallée de la Dame des eaux.,Eau de Kwapa,2,9191
,14 juillet 2024,Zuart,Bonus : Expérience du Kolizéum,Les gains d'expérience sont augmentés de 75 % lors des combats du Kolizéum.,Chaînes Brisées,6,1517
,15 juillet 2024,Bouilli,Bonus : Gibier abondant,Les quantités de Viande Goûtue récupérées par les Chasseurs sont augmentées de 125%.,Viande Goûtue,2,21990
,16 juillet 2024,Okajin,Bonus : Anomalies temporelles,"Les chances d'obtenir du butin sont augmentées de 50 % dans toutes les zones influencées par une anomalie temporelle. De plus, les gains d'expérience et les chances d'obtenir du butin sont augmentés de 25 % dans les zones des forêts de Vulkania.",Boue Vénérable,2,16866
,17 juillet 2024,Luzbel,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 75 % dans la zone des Prairies d'Astrub.,Peau de Larve Verte,6,395
,18 juillet 2024,Titi,Bonus : Concassage,"Pour chaque rune obtenue en brisant des objets, les concasseurs ont 10 % de chances de créer une seconde rune.",Mauvaise Pioche,1,395
,19 juillet 2024,Alucard,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 100 % dans le donjon du Palais de Dantinea.,Peau de Trithon,1,21990
,20 juillet 2024,Gurvamon,Bonus : Apparition des ressources,La vitesse d'apparition des céréales récoltées par les Paysans est augmentée de 100 %.,Huile de Tournesol Sauvage,1,769
,21 juillet 2024,Alhera,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Gobelins de Sakaï.,Fragment de pépite de Sakaï,1,18955
,22 juillet 2024,Tholank,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 75 % dans les zones du Port de givre et de La Bourgade.,Sardine à l'Étouffée,3,3144
,23 juillet 2024,Kaoly,Bonus : Expérience des familiers,Les gains d'expérience des familiers sont augmentés de 50 %.,Chacha,1,747
,24 juillet 2024,Xan,Bonus : Bois abondant,Les quantités de Bambou Sacré et d'Orme récupérées par les Bûcherons sont augmentées de 125 %.,Bois d'Orme,10,8993
,25 juillet 2024,Anulideven,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans la zone de Gisgoul.,Furoncle de la Mama Bwork,3,17240
,26 juillet 2024,Lokhaan,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans les zones de l'Orée enchantée et du Dédale du Dark Vlad.,Pic de Malépik,3,12116
,27 juillet 2024,Benka,Bonus : Gibier abondant,Les quantités de Viande Hachée et de Viande Faisandée récupérées par les Chasseurs sont augmentées de 125%.,Boulette de Viande,6,593
,28 juillet 2024,Nobozil,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 100 % dans le donjon du Dojo du Vent.,Lame brisée de Lichangoro,4,10599
,29 juillet 2024,Olileb,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans le donjon de laCaverne d'El Piko.,Jus de Cacterre,2,9191
,30 juillet 2024,Aleb,Bonus : Troollez manège,"Les gains d'expérience et les chances d'obtenir du butin sont augmentés de 100 % dans le donjon de la Maison Fantôme. De plus, Leonzi Trool attend les aventuriers à la Foire du Trool. Sa bénédiction permet de trooller à tout va (bonus d'initiative et coups critiques durant 15 combats).",Cuir de Boostache Prépubère,3,989
,31 juillet 2024,Krisdanh,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Chassouilleurs.,Flèche de Crâmbo,2,19153
,1 août 2024,Jycêdus,Bonus : Cueillette abondante,Les quantités de Sauge récupérées par les Alchimistes sont augmentées de 125 %.,Sauge,40,197
,2 août 2024,Pô,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les créatures de type Truches.,Plume de Truchideur,4,8400
,3 août 2024,Puliblak,Bonus : Quête répétable,"Une quête répétable spéciale est disponible aujourd'hui au sud des portes de Bonta. Réalisable à partir du niveau 20, elle est indépendante de la quête d'offrande.",Potion de cité : Bonta,3,5981
,4 août 2024,Anshâ,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans le Cratère Minus.,Cendres Matures,4,8400
,5 août 2024,Meda,Bonus : Pêche abondante,Les quantités de Poisskaille récupérées par les Pêcheurs sont augmentées de 200 %.,Poisskaille,10,10995
,6 août 2024,Jü,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans la zone des Calanques d'Astrub.,Crème à bronzer,6,329
,7 août 2024,Dramon,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon de l'Antre du Blop Multicolore Royal.,Racine de Tronkoblop,3,2111
,8 août 2024,Zeg,Bonus : Économie d'ingrédients,Les Mineurs ont 15 % de chances d'économiser des ingrédients lorsqu'ils fabriquent des objets.,Aluminite,1,395
,9 août 2024,Tix,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Plantes des champs.,Pétale de Tournesol Sauvage,6,395
,10 août 2024,Rigamix,Bonus : Élevage de montures,"Toutes les variétés de dragodindes, volkornes et muldos capables de se reproduire donnent naissance à un bébé supplémentaire.",Mangeoire en Frêne,1,6355
,11 août 2024,Matgap,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 75 % dans la zone du Mont des Tombeaux.,Kapokaza,3,15436
,12 août 2024,Sab,Bonus : Gibier abondant,Les quantités de Viande Macérée et de Viande de Brousse récupérées par les Chasseurs sont augmentées de 125%.,Viande de Brousse,4,12732
,13 août 2024,Ouchim,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les créatures de type Monstres de Vulkania.,Flaque Vénérable,2,16866
,14 août 2024,Margarou,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les créatures de type Crocodailles de Crocuzko.,Œil de Crocodaille albinos,1,21990
,15 août 2024,Orreip,Bonus : Anomalies en folie,"Les gains d'expérience, les chances d'obtenir du butin et le butin généré par les Percepteurs sont augmentés de 100 % dans toutes les zones influencées par une anomalie temporelle.",Paupière d'Étoile,6,1517
,16 août 2024,Lortecaps,Bonus : Cueillette abondante,Les quantités deGinseng et de Graines de Pandouille récupérées par les Alchimistes sont augmentées de 125 %.,Ginseng,40,5585
,17 août 2024,Marjul,Bonus : Minerai abondant,Les quantités de Bronze récupérées par les Mineurs sont augmentées de 125 %.,Bronze,30,593
,18 août 2024,Ynniw,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Ravageurs.,Corne de Typhomet,2,21990
,19 août 2024,Pilserpus,Bonus : Objets de qualité,La qualité des objets fabriqués dans la ville d'Astrub est augmentée.,Bottes de Satisfaction,1,769
,20 août 2024,Gridoo,Bonus : Gibier abondant,Les quantités de Viande Ladre et de Viande Avariée récupérées par les Chasseurs sont augmentées de 125 %.,Viande Avariée,6,3144
,21 août 2024,Theomak,Bonus : Challenges augmentés,"Les bonus apportés par les challenges réussis sont augmentés de 150 % dans les 4 donjons de l'Eliocalypse (Arbre, Blessures, Désert et Sentence).",Terre Stérile,1,21990
,22 août 2024,Pierdem,Bonus : Pêche abondante,Les quantités de Morue et d'Espadon récupérées par les Pêcheurs sont augmentées de 125 %.,Morue,40,8070
,23 août 2024,Guiboun,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 75 % dans les zones du Mont Torrideau et de la Ruche des Gloursons.,Poils de Boulglours,2,19944
,24 août 2024,Mikala,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 100 % dans le donjon de la Sousouricière du Rat Noir.,Pustule de Rat Sio,3,6662
,25 août 2024,Lolzeolf,Bonus : Récolte abondante,Les quantités de céréales récupérées par les Paysans de tous niveaux sont augmentées de 100 %.,Millet,50,8993
,26 août 2024,Fizzi,Bonus : Percepteurs avides,Le butin généré par les Percepteurs est augmenté de 200 % dans les donjons de niveau 200.,Collier d'esclave,1,21990
,27 août 2024,Talentyre,Bonus : Pêche abondante,Les quantités de Raie Bleue et de Requin Marteau-Faucille récupérées par les Pêcheurs sont augmentées de 125 %.,Requin Marteau-Faucille,40,6377
,28 août 2024,Noon,Bonus : Bois abondant,Les quantités de Noyer récupérées par les Bûcherons sont augmentées de 125 %.,Bois de Noyer,40,593
,29 août 2024,Dyw,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans le donjon du Clos des Blops.,Fleur de Blopignon,6,2111
,30 août 2024,So,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les créatures de type Porcos.,Peau de Don Dorgan,1,5981
,31 août 2024,Bitkyo,Bonus : Forgemagie améliorée,Les Costumages ont 15 % de chances de ne pas consumer de rune lorsqu'ils tentent d'améliorer un objet.,Rune Ré Eau,4,769
,1 septembre 2024,Manoush,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 100 % dans le donjon de la Chambre des maléfices.,Épine d'Armuguet,2,21990
,2 septembre 2024,Ancestrotek,Bonus : Vitalité débordante,"La régénération des Points de Vie est augmentée de 300 % (hors combat), et les soins par consommables (vie et énergie) sont augmentés de 100 %.",Potion de Mini Soin Supérieure,4,395
,3 septembre 2024,Vikotoru,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Yokianzhi d'encre et Yokianzhi de papier.,Pétale d'encre,1,21990
,4 septembre 2024,Lorko,Bonus : Fabrication intensive,"Pour chaque objet fabriqué, les Bûcherons ont 10 % de chances de créer un second objet.",Planche Contreplaquée,1,395
,5 septembre 2024,Lucimay,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans la zone et le donjon du Labyrinthe du Minotoror (et son centre).,Plume du Serpiplume,4,8927
,6 septembre 2024,Zouzo,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Corbacs.,Poil de Renarbo,5,6662
,7 septembre 2024,Cherop,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les créatures de type Florifaune obscure.,Sépale de Nerbe,4,10027
,8 septembre 2024,Davut,Bonus : Apparition des ressources,La vitesse d'apparition des ressources est augmentée de 150 % dans les zones des Profondeurs de Sufokia.,Écume de mer,10,10995
,9 septembre 2024,Mud,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 75 % dans la zone de la Plaine des Porkass.,Trident Cassé,6,1517
,10 septembre 2024,Mau,Bonus : Élevage de montures,"Toutes les variétés de dragodindes, volkornes et muldos ébène ainsi que de volkornes améthyste donnent naissance à un bébé supplémentaire.",Aile de Dragodinde,1,2462
,11 septembre 2024,Xa,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 75 % dans la zone du Territoire des Dragodindes Sauvages.,Sueur de dragodinde,4,3628
,12 septembre 2024,Grugin,Bonus : Bonta et Brâkmar,"Les récompenses en points d'expérience des quêtes d'alignement sont augmentées de 100 %. De plus, une quête répétable spéciale est disponible aujourd'hui à l'intérieur des milices de Bonta ou de Brâkmar. Réalisable à partir du niveau 20 par les personnages alignés, elle est indépendante de la quête d'offrande.",Flamme Spectrale,6,1517
,13 septembre 2024,Yukin,Bonus : Récolte abondante,Les quantités de Lin récupérées par les Paysans sont augmentées de 125 %.,Lin,50,2001
,14 septembre 2024,Farod,Bonus : Anomalies temporelles,"Les gains d'expérience sont augmentés de 50 % dans toutes les zones influencées par une anomalie temporelle. De plus, les gains d'expérience et les chances d'obtenir du butin sont augmentés de 25 % dans la zone de la Bordure de Brâkmar.",Sueur Froide de Fantôme,6,1517
,15 septembre 2024,Makss,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon du Laboratoire de Nileza.,Bractée de Drosérâle,2,21990
,16 septembre 2024,Latürb,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 75 % dans les zones de la Gorge des Vents Hurlants et de la Cité Oubliée.,Carapace de Ver des Sables,1,15436
,17 septembre 2024,Nosruo,Bonus : Apparition des ressources,La vitesse d'apparition des ressources est augmentée de 150 % dans la zone de la Forêt d'Amakna.,Substrat de Buisson,1,1165
,18 septembre 2024,Guidys,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 100 % dans le Donjon des Squelettes.,Os de Chafer,9,989
,19 septembre 2024,Olvido,Bonus : Points d'expérience et butin sur les pirates,Les gains d'expérience et les chances d'obtenir du butin sont augmentés de 50 % sur tous les monstres considérés comme des pirates.,Rhum de Qualité,6,4551
,20 septembre 2024,Nido,Bonus : Gibier abondant,Les quantités de Viande Fraîche et de Viande Maigre récupérées par les Chasseurs sont augmentées de 125%.,Mijoté Récréatif,4,21594
,21 septembre 2024,Bodirom,Bonus : Objets de qualité,La qualité des objets fabriqués dans la ville de Brâkmar est augmentée.,Épée d'Ha,1,769
,22 septembre 2024,Djuuma,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans la zone des Dunes des ossements.,Sable Fin,2,3980
,23 septembre 2024,Foluk,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Herboricoles.,Crinière fleurie,1,5981
,24 septembre 2024,Emp,Bonus : Percepteurs avides,Le butin généré par les Percepteurs est augmenté de 200 % dans tous les donjons.,Pépite,3,1495
,25 septembre 2024,Franho,Bonus : Cadeaux surprises,"Des Présents surprenants ont été ajoutés aux butins des monstres des donjons. Lorsqu'ils sont utilisés, ils permettent d'obtenir une bonne ou mauvaise surprise.",Crabe Surprise,3,945
,26 septembre 2024,Nufrank,Bonus : Minerai abondant,Les quantités de Dolomite et d'Obsidienne récupérées par les Mineurs sont augmentées de 125 %.,Obsidienne,30,10995
,27 septembre 2024,Wasaru,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 100 % dans le donjon de la Canopée du Kimbo.,Tresse du Poolay,1,10599
,28 septembre 2024,Sad,Bonus : Coffres aux trésors,Des Coffres de Sad peuvent être gagnés à la fin des chasses aux trésors.,Arc Déroutant,1,769
,29 septembre 2024,Dethoama,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les fantômes de l'Équipage du Grolandais.,Mât de Fantômat,3,12732
,30 septembre 2024,Sulp,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans le donjon des Pitons rocheux des Craqueleurs.,Dent en Or de Craqueleur,1,2836
,1 octobre 2024,Moomoo,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les soldats de la Fratrie des Oubliés : les Calcinés et les Submergés.,Aquarakne de Crânonier,2,21990
,2 octobre 2024,Kosal,Bonus : Bois abondant,Les quantités de Bois de Pin et de Bois d'Oliviolet récupérées par les Bûcherons sont augmentées de 125 %.,Bois de Pin,40,2462
,3 octobre 2024,Chik,Bonus : Quête répétable,"Une quête répétable spéciale est disponible aujourd'hui près de la fontaine du village d'Amakna. Réalisable à partir du niveau 20, elle est indépendante de la quête d'offrande.",Arc Holic,1,769
,4 octobre 2024,Jujü,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans la zone de la Futaie enneigée.,Pom de Pin,2,1517
,5 octobre 2024,Ounirom,Bonus : Pêche abondante,"Les quantités de Poisson Pané, de Sardine Brillante et de < b>Kralamoure récupérées par les Pêcheurs sont augmentées de 125 %.",Kralamoure,40,2462
,6 octobre 2024,Ketzakwet,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans le donjon du Laboratoire du Tynril.,Étamine de Floribonde,4,10445
,7 octobre 2024,Krûnsh,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 75 % dans la zone du Cauchemar des Ravageurs.,Pic de Ravageur,1,21990
,8 octobre 2024,Kroketh,Bonus : Gibier abondant,Les quantités de viande récupérées par les Chasseurs de tous niveaux sont augmentées de 100 %.,Viande Saignante,5,8400
,9 octobre 2024,Nitsougnal,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les créatures de type Firefoux.,Poils de Pétartifoux,4,10599
,10 octobre 2024,Benjo,Bonus : Élevage de montures,"Toutes les variétés de dragodindes, volkornes et muldos ivoire donnent naissance à un bébé supplémentaire.",Dent de Dragodinde,6,2836
,11 octobre 2024,Emattera,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 75 % dans la zone de la Désolation de Sidimote.,Kolérat Mort,1,2836
,12 octobre 2024,Diakollec,Bonus : Voyages dimensionnels,Les gains d'expérience et les chances d'obtenir du butin sont augmentés de 50 % dans toutes les zones des dimensions divines.,Tige de Bambouto,5,6662
,13 octobre 2024,Astirout,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les Kwapa.,Concombre,4,9191
,14 octobre 2024,Takeza,Bonus : Expérience des montures,Les gains d'expérience des montures sont augmentés de 200 %.,Parmentier à l'Oignon,4,4705
,15 octobre 2024,Dnegeleht,Bonus : Récolte abondante,Les quantités de Chanvre récupérées par les Paysans sont augmentées de 125 %.,Chanvre,50,197
,16 octobre 2024,Kuri,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 100 % dans le donjon de la Caverne du Koulosse.,Corne du Boufcoul,5,5563
,17 octobre 2024,Yaloop,Bonus : Bois abondant,Les quantités de Bois de Noisetier et deBois de Merisier récupérées par les Bûcherons sont augmentées de 125 %.,Bois de Noisetier,40,4859
,18 octobre 2024,Fry,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les créatures de l'Armée de brume.,Plastron de Tambouraï,3,13721
,19 octobre 2024,Zellina,Bonus : Apparition des ressources,La vitesse d'apparition des poissons de tous types est augmentée de 100 %.,Perche,40,4200
,20 octobre 2024,Sephy,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 100 % dans les donjons de la Mémoire d'Orukam et du Souvenir d'Imagiro.,Pétale de Papier,1,21990
,21 octobre 2024,Baba,Bonus : Fabrication intensive,Les quantités d'objets fabriqués par les Chasseurs sont augmentées de 25 %.,Poêlée Paysanne,4,8993
,22 octobre 2024,Viviantho,Bonus : Expérience des métiers,"Les gains d'expérience sont augmentés de 50 % pour les Bûcherons, les Mineurs et les Alchimistes.",Silicate,30,2990
,23 octobre 2024,Patawaii,Bonus : Anomalies temporelles,"Les chances d'obtenir du butin sont augmentées de 50 % dans toutes les zones influencées par une anomalie temporelle. De plus, les gains d'expérience et les chances d'obtenir du butin sont augmentés de 25 % dans la zone de la Dimension Obscure.",Symbole des Obscuranti,1,20142
,24 octobre 2024,Sili,Bonus : Minerai abondant,Les quantités de Fer récupérées par les Mineurs sont augmentées de 125 %.,Fer,30,197
,25 octobre 2024,Rikoo,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Faune des Pins Perdus.,Poils de Smilomouth,4,8400
,26 octobre 2024,Capt,Bonus : Points d'expérience,"Les gains d'expérience sont augmentés de 50 % sur les créatures de type Wabbits, Wabbits mutants et Gawde du Wa.",Dent de Wabbit,9,1451
,27 octobre 2024,Coyo,Bonus : Économie d'ingrédients,Les Sculpteurs économisent 15 % de leurs ingrédients lorsqu'ils fabriquent des objets.,Bâton Feuillu,1,769
,28 octobre 2024,Fredocigam,Bonus : Cueillette abondante,Les quantités de Mandragore et de Belladone récupérées par les Alchimistes sont augmentées de 125 %.,Mandragore,40,5585
,29 octobre 2024,Tchokun,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 75 % dans la zone de la Crevasse Perge.,Malléole de Yomi Givrefoux,3,16140
,30 octobre 2024,Macugny,Bonus : Percepteurs avides,Le butin généré par les Percepteurs est augmenté de 200 % dans les donjons de niveau 120 à 150.,Akaslip d'Akakwa,4,9191
,31 octobre 2024,Asid,Bonus : Cadeaux surprises,"Des Surprises de Trikortritt ont été ajoutées aux butins des monstres. Lorsqu'elles sont utilisées, elles permettent d'obtenir des Bonbons d'Halouine ou bien de se retrouver transformé en Petite Chauffe-Soutrille.",Poils de Barbe du Bwork Mage,6,1517
,1 novembre 2024,Mitomiel,Bonus : Points d'expérience et butin en slip,Les gains d'expérience lors des combats contre les monstres et les chances d'obtenir du butin sont augmentés de 50 % pour tous les aventuriers qui sont équipés d'un slip.,Slip de Troollaraj,1,7762
